frame,bbox_topleft_x,bbox_topleft_y,bbox_width,bbox_height,track_id,color,type,speed
969,1815,142,63,25,3,6,0,26
970,1806,144,61,26,3,6,0,24
971,1799,144,60,24,3,6,0,20
972,1791,144,61,25,3,6,0,19
973,1783,145,62,25,3,6,0,16
974,1774,147,63,25,3,6,0,16
975,1772,146,55,25,3,6,0,15
976,1763,146,57,26,3,6,0,19
977,1756,148,57,24,3,6,0,23
978,1747,149,57,26,3,6,0,26
979,1741,149,53,27,3,6,0,26
980,1732,151,54,27,3,6,0,26
981,1727,152,53,25,3,6,0,26
982,1715,153,56,25,3,6,0,25
983,1706,155,55,25,3,6,0,24
984,1701,155,51,26,3,6,0,22
985,1701,156,44,25,3,6,0,22
986,1699,159,37,24,3,6,0,22
46,1870,670,49,185,8,3,5,30
47,1842,645,77,190,8,3,5,30
48,1813,624,106,202,8,3,5,30
49,1785,591,134,229,8,3,5,30
50,1757,563,163,245,8,3,5,30
51,1727,543,192,260,8,3,5,30
52,1702,530,218,324,8,3,5,30
53,1675,509,245,322,8,3,5,30
54,1650,493,267,306,8,3,5,30
55,1625,480,295,293,8,3,5,30
56,1599,464,319,284,8,3,5,30
57,1577,451,342,272,8,3,5,30
58,1553,439,366,263,8,3,5,30
59,1530,423,374,256,8,3,5,29
60,1510,415,359,239,8,3,5,29
61,1491,397,348,237,8,3,5,28
62,1472,389,331,225,8,3,5,28
63,1452,377,317,220,8,3,5,27
64,1433,368,306,210,8,3,5,27
65,1416,359,295,203,8,3,5,27
66,1397,347,283,196,8,3,5,28
67,1382,340,270,188,8,3,5,29
68,1366,324,261,191,8,3,5,30
69,1350,319,249,177,8,3,5,31
70,1337,311,239,170,8,3,5,31
71,1323,302,229,166,8,3,5,32
72,1308,294,222,162,8,3,5,33
73,1297,285,212,155,8,3,5,34
74,1283,277,205,153,8,3,5,35
75,1273,273,197,146,8,3,5,35
76,1261,266,188,140,8,3,5,36
77,1249,257,186,139,8,3,5,36
78,1240,252,176,134,8,3,5,37
79,1229,246,171,130,8,3,5,38
80,1221,240,164,127,8,3,5,39
81,1209,233,160,123,8,3,5,40
82,1203,226,151,121,8,3,5,40
83,1193,222,149,118,8,3,5,41
84,1185,217,143,114,8,3,5,43
