frame,bbox_topleft_x,bbox_topleft_y,bbox_width,bbox_height,track_id,color,type,speed
0,1310,394,364,175,820,9,1,26
1,1354,397,372,177,820,9,1,25
2,1399,402,378,178,820,9,1,25
3,1447,406,384,179,820,9,1,25
4,1498,410,388,183,820,9,1,25
5,1550,416,369,183,820,9,1,25
6,1603,422,316,184,820,9,1,25
7,1659,429,260,161,820,9,1,25
8,1715,431,204,160,820,9,1,24
9,1767,437,152,162,820,9,1,24
10,1825,444,94,159,820,9,1,23
0,417,215,255,255,821,2,7,3
1,417,215,255,255,821,2,7,2
2,417,214,254,255,821,2,7,2
3,417,214,254,255,821,2,7,1
4,417,214,254,255,821,2,7,1
5,417,214,255,255,821,2,7,0
6,417,214,256,255,821,2,7,0
7,417,214,255,255,821,2,7,0
8,417,214,255,255,821,2,7,0
9,416,214,254,255,821,2,7,0
10,416,215,254,254,821,2,7,0
11,416,215,255,255,821,2,7,0
12,415,213,256,258,821,2,7,1
13,415,213,236,258,821,2,7,1
14,415,215,222,255,821,2,7,2
15,415,215,208,255,821,2,7,2
16,412,215,199,256,821,2,7,3
17,410,214,195,259,821,2,7,4
18,410,214,192,260,821,2,7,5
19,407,213,235,262,821,2,7,6
20,403,213,267,262,821,2,7,6
21,405,214,264,263,821,2,7,6
22,405,213,221,263,821,2,7,7
23,404,214,263,264,821,2,7,7
24,402,215,228,265,821,2,7,7
25,403,217,263,264,821,2,7,6
26,401,217,255,265,821,2,7,6
27,402,218,182,264,821,2,7,7
28,399,218,189,267,821,2,7,8
29,397,218,227,268,821,2,7,8
30,394,219,189,269,821,2,7,8
31,391,220,188,269,821,2,7,8
32,389,222,187,270,821,2,7,7
33,385,222,192,273,821,2,7,8
34,379,221,213,274,821,2,7,8
35,377,222,197,278,821,2,7,8
36,373,221,197,279,821,2,7,8
37,371,225,199,278,821,2,7,9
38,368,224,218,282,821,2,7,9
39,361,225,217,285,821,2,7,9
40,362,224,246,289,821,2,7,10
41,355,227,231,289,821,2,7,10
42,353,227,225,292,821,2,7,10
43,348,226,209,295,821,2,7,10
44,345,230,209,295,821,2,7,10
45,337,230,215,298,821,2,7,10
46,334,231,218,301,821,2,7,11
47,327,232,231,305,821,2,7,11
48,322,233,222,310,821,2,7,12
49,316,234,226,312,821,2,7,12
50,308,237,236,313,821,2,7,13
51,305,238,232,319,821,2,7,13
52,296,241,281,322,821,2,7,14
53,292,242,270,326,821,2,7,14
54,285,242,340,330,821,2,7,15
55,279,239,347,339,821,2,7,15
56,272,244,352,342,821,2,7,15
57,266,246,367,344,821,2,7,14
58,260,248,370,346,821,2,7,14
59,251,248,378,352,821,2,7,14
60,242,238,384,369,821,2,7,13
61,234,245,391,369,821,2,7,13
62,227,253,393,367,821,2,7,13
63,217,254,404,372,821,2,7,14
