frame,bbox_topleft_x,bbox_topleft_y,bbox_width,bbox_height,track_id,color,type,speed
0,1281,363,236,180,1,9,0,0
1,1281,363,236,181,1,9,0,0
2,1282,363,236,180,1,9,0,0
3,1281,362,237,181,1,9,0,0
4,1281,362,237,182,1,9,0,0
5,1281,362,236,182,1,9,0,0
6,1281,362,237,182,1,9,0,0
7,1282,362,236,182,1,9,0,0
8,1282,362,236,182,1,9,0,0
9,1282,362,236,182,1,9,0,0
10,1282,362,236,182,1,9,0,0
11,1282,362,235,182,1,9,0,0
12,1282,363,236,181,1,9,0,0
13,1281,363,237,182,1,9,0,0
14,1281,363,237,182,1,9,0,0
15,1281,363,237,182,1,9,0,0
16,1281,362,237,183,1,9,0,0
17,1281,362,237,183,1,9,0,0
18,1281,362,237,182,1,9,0,0
19,1281,362,238,182,1,9,0,0
20,1280,362,238,182,1,9,0,0
21,1280,362,238,182,1,9,0,0
22,1281,362,238,181,1,9,0,0
23,1281,362,237,181,1,9,0,0
24,1281,361,237,182,1,9,0,0
25,1281,361,237,182,1,9,0,0
26,1281,361,237,182,1,9,0,0
27,1281,361,237,182,1,9,0,0
28,1281,361,237,182,1,9,0,0
29,1281,361,236,182,1,9,0,0
30,1282,362,236,181,1,9,0,0
31,1283,362,235,183,1,9,0,0
32,1282,362,235,183,1,9,0,0
33,1283,362,235,182,1,9,0,0
34,1283,362,235,182,1,9,0,0
35,1283,362,235,182,1,9,0,0
36,1283,363,235,181,1,9,0,0
37,1283,363,235,181,1,9,0,0
38,1283,363,235,182,1,9,0,0
39,1283,363,235,182,1,9,0,0
40,1282,363,235,182,1,9,0,0
41,1282,363,235,181,1,9,0,0
42,1282,362,235,182,1,9,0,0
43,1282,362,235,182,1,9,0,0
44,1282,362,235,182,1,9,0,0
45,1282,361,235,183,1,9,0,0
46,1281,361,236,183,1,9,0,0
47,1281,361,236,183,1,9,0,0
48,1282,361,235,182,1,9,0,0
49,1282,361,235,183,1,9,0,0
50,1282,362,235,182,1,9,0,0
51,1282,362,235,182,1,9,0,0
52,1282,362,235,182,1,9,0,0
53,1282,362,235,183,1,9,0,0
54,1282,362,235,183,1,9,0,0
55,1282,362,235,182,1,9,0,0
56,1282,362,235,183,1,9,0,0
57,1282,363,235,182,1,9,0,0
58,1282,363,235,182,1,9,0,0
59,1284,362,234,183,1,9,0,0
60,1284,363,234,181,1,9,0,0
61,1284,363,234,181,1,9,0,0
62,1284,363,234,181,1,9,0,0
63,1283,363,235,181,1,9,0,0
64,1283,362,235,182,1,9,0,0
65,1283,361,235,183,1,9,0,0
66,1282,362,235,183,1,9,0,0
67,1281,361,236,183,1,9,0,0
68,1281,361,236,183,1,9,0,0
69,1281,361,236,183,1,9,0,0
70,1281,361,236,183,1,9,0,0
71,1281,360,236,183,1,9,0,0
72,1282,360,236,182,1,9,0,0
73,1282,360,236,183,1,9,0,0
74,1282,361,235,183,1,9,0,0
75,1282,361,235,182,1,9,0,0
76,1282,361,235,182,1,9,0,0
77,1282,361,235,182,1,9,0,0
78,1282,361,235,182,1,9,0,0
79,1282,361,235,183,1,9,0,0
80,1282,361,235,183,1,9,0,0
81,1282,361,235,182,1,9,0,0
82,1282,361,235,182,1,9,0,0
83,1282,362,235,182,1,9,0,0
84,1282,361,235,183,1,9,0,0
85,1282,361,235,183,1,9,0,0
86,1282,361,235,183,1,9,0,0
87,1282,361,235,183,1,9,0,0
88,1282,361,235,183,1,9,0,0
89,1282,360,235,183,1,9,0,0
90,1282,360,235,183,1,9,0,0
91,1282,360,235,183,1,9,0,0
92,1282,360,235,183,1,9,0,0
93,1282,360,235,183,1,9,0,0
94,1282,360,236,183,1,9,0,0
95,1281,360,236,183,1,9,0,0
96,1281,361,237,182,1,9,0,0
97,1281,361,236,182,1,9,0,0
98,1281,361,236,182,1,9,0,0
99,1280,362,237,181,1,9,0,0
100,1281,362,236,181,1,9,0,0
101,1281,362,236,182,1,9,0,0
102,1281,362,236,182,1,9,0,0
103,1282,362,235,182,1,9,0,0
104,1282,362,236,182,1,9,0,0
105,1282,362,235,182,1,9,0,0
106,1282,362,235,182,1,9,0,0
107,1282,362,234,182,1,9,0,0
108,1281,363,236,182,1,9,0,0
109,1281,363,236,182,1,9,0,0
110,1281,363,237,182,1,9,0,0
111,1281,363,236,182,1,9,0,0
112,1281,363,236,182,1,9,0,0
113,1281,363,236,182,1,9,0,0
114,1281,363,237,182,1,9,0,0
115,1281,363,237,182,1,9,0,0
116,1280,363,237,181,1,9,0,0
117,1280,362,237,182,1,9,0,0
118,1280,362,237,182,1,9,0,0
119,1281,362,237,181,1,9,0,0
120,1281,362,236,182,1,9,0,0
121,1281,362,237,182,1,9,0,0
122,1281,362,236,182,1,9,0,0
123,1281,362,236,182,1,9,0,0
124,1281,362,236,182,1,9,0,0
125,1283,363,234,181,1,9,0,0
126,1283,363,234,181,1,9,0,0
127,1283,363,234,182,1,9,0,0
128,1283,362,234,182,1,9,0,0
129,1283,363,234,182,1,9,0,0
130,1283,363,234,182,1,9,0,0
131,1283,363,234,182,1,9,0,0
132,1282,363,235,181,1,9,0,0
133,1282,363,235,181,1,9,0,0
134,1282,362,235,181,1,9,0,0
135,1282,362,236,182,1,9,0,0
136,1282,362,236,182,1,9,0,0
137,1282,362,236,182,1,9,0,0
138,1282,362,236,182,1,9,0,0
139,1281,362,236,181,1,9,0,0
140,1281,362,236,182,1,9,0,0
141,1281,362,238,182,1,9,0,0
142,1280,361,238,182,1,9,0,0
143,1281,361,237,182,1,9,0,0
144,1281,362,236,181,1,9,0,0
145,1281,362,236,182,1,9,0,0
146,1281,361,236,182,1,9,0,0
147,1282,362,236,183,1,9,0,0
148,1282,362,236,183,1,9,0,0
149,1282,362,236,183,1,9,0,0
150,1282,362,235,182,1,9,0,0
151,1282,362,235,182,1,9,0,0
152,1282,362,235,183,1,9,0,0
