frame,bbox_topleft_x,bbox_topleft_y,bbox_width,bbox_height,track_id,color,type,speed
2042,1817,999,65,46,0,9,1,6
2043,1815,999,67,47,0,9,1,4
2044,1815,998,67,48,0,9,1,3
2045,1815,999,67,47,0,9,1,1
2046,1813,997,69,49,0,9,1,1
2047,1814,998,69,48,0,9,1,1
2048,1813,998,69,48,0,9,1,2
2049,1813,998,69,49,0,9,1,2
2050,1812,998,69,49,0,9,1,2
2051,1813,998,69,48,0,9,1,1
2052,1816,999,66,47,0,9,1,1
2053,1815,999,66,47,0,9,1,2
2054,1816,999,64,46,0,9,1,4
2055,1817,1000,63,46,0,9,1,5
2056,1819,1000,61,44,0,9,1,6
2057,1820,1001,60,44,0,9,1,6
2058,1821,1001,59,44,0,9,1,7
2059,1822,1001,59,44,0,9,1,9
2060,1822,1001,58,44,0,9,1,9
2061,1822,1000,59,44,0,9,1,10
2062,1822,999,59,44,0,9,1,10
2063,1820,999,62,44,0,9,1,11
2064,1822,1000,60,43,0,9,1,12
2065,1823,1000,60,43,0,9,1,13
2066,1822,999,59,44,0,9,1,12
2067,1824,999,58,43,0,9,1,10
2068,1824,999,59,43,0,9,1,7
2069,1824,1000,58,43,0,9,1,6
2070,1825,1000,57,43,0,9,1,4
2071,1823,1002,58,42,0,9,1,6
2072,1826,1003,56,41,0,9,1,7
2073,1827,1003,54,42,0,9,1,9
2074,1836,1005,45,41,0,9,1,7
2075,1835,1003,47,43,0,9,1,6
2076,1823,984,66,60,0,9,1,3
2077,1824,998,58,46,0,9,1,3
2078,1824,998,58,46,0,9,1,1
2079,1824,998,58,46,0,9,1,1
2080,1823,998,58,46,0,9,1,1
2081,1823,998,58,46,0,9,1,1
2082,1823,998,59,46,0,9,1,1
2083,1824,998,59,46,0,9,1,0
2084,1824,998,58,46,0,9,1,0
2085,1824,998,58,46,0,9,1,0
2086,1824,998,58,46,0,9,1,0
2087,1825,998,55,45,0,9,1,0
2088,1825,998,55,46,0,9,1,0
2089,1825,998,55,46,0,9,1,0
2090,1825,998,55,46,0,9,1,1
2091,1825,998,55,46,0,9,1,2
2092,1825,998,55,46,0,9,1,2
2093,1825,1000,54,44,0,9,1,2
2094,1826,998,54,46,0,9,1,1
2095,1826,998,54,46,0,9,1,1
2096,1825,997,55,46,0,9,1,1
2097,1825,997,55,46,0,9,1,2
2098,1825,997,54,46,0,9,1,2
2099,1825,997,55,46,0,9,1,3
2100,1825,998,54,46,0,9,1,4
2101,1825,998,54,46,0,9,1,5
2102,1825,998,54,46,0,9,1,5
2103,1825,998,54,46,0,9,1,5
2104,1825,998,54,46,0,9,1,4
2105,1825,998,54,46,0,9,1,2
2106,1825,998,54,46,0,9,1,1
2107,1825,998,54,46,0,9,1,1
2108,1825,998,55,47,0,9,1,0
2109,1824,998,56,47,0,9,1,0
2110,1825,998,56,47,0,9,1,0
2111,1824,998,56,47,0,9,1,0
2112,1824,997,60,48,0,9,1,0
2113,1824,997,60,48,0,9,1,1
2114,1824,997,60,48,0,9,1,1
2115,1824,997,60,48,0,9,1,1
2116,1824,997,60,48,0,9,1,0
2117,1824,997,60,48,0,9,1,0
2118,1824,997,60,48,0,9,1,0
2119,1824,997,60,48,0,9,1,0
2120,1826,1002,55,43,0,9,1,0
2121,1825,1002,55,43,0,9,1,1
2122,1825,1002,55,43,0,9,1,1
2123,1825,1002,55,43,0,9,1,1
2124,1826,1002,54,43,0,9,1,0
2125,1826,1002,54,43,0,9,1,0
2126,1826,1002,55,43,0,9,1,0
2127,1826,1002,54,43,0,9,1,1
2128,1832,1002,52,44,0,9,1,1
2129,1832,1002,52,44,0,9,1,2
2130,1832,1002,52,45,0,9,1,2
2131,1832,1002,52,44,0,9,1,2
2132,1833,1002,52,44,0,9,1,2
2133,1833,1002,52,44,0,9,1,1
2134,1833,1002,52,44,0,9,1,1
2135,1833,1002,52,44,0,9,1,0
2136,1832,1002,54,45,0,9,1,1
2137,1832,1002,53,45,0,9,1,1
2138,1827,1002,54,43,0,9,1,2
2139,1827,1002,54,43,0,9,1,2
2140,1827,1002,54,43,0,9,1,2
2141,1826,999,55,45,0,9,1,1
2142,1826,999,55,45,0,9,1,1
2143,1827,1002,53,43,0,9,1,0
2144,1827,1002,53,43,0,9,1,0
2145,1827,1002,53,43,0,9,1,1
2146,1830,1000,55,46,0,9,1,1
2147,1830,1000,55,47,0,9,1,2
2148,1825,999,57,45,0,9,1,1
2149,1825,999,56,45,0,9,1,1
2150,1825,999,56,45,0,9,1,1
2151,1825,999,56,45,0,9,1,2
2152,1825,998,57,46,0,9,1,3
2153,1825,998,57,46,0,9,1,3
2154,1825,998,57,46,0,9,1,3
2155,1825,998,57,46,0,9,1,2
2156,1825,998,57,46,0,9,1,1
2157,1825,998,57,46,0,9,1,1
2158,1825,998,57,46,0,9,1,1
2159,1825,998,57,46,0,9,1,1
2160,1825,999,57,45,0,9,1,1
2161,1825,999,57,45,0,9,1,1
2162,1826,999,56,45,0,9,1,0
2163,1826,999,55,45,0,9,1,0
2164,1826,999,56,45,0,9,1,0
2165,1825,998,56,46,0,9,1,0
2166,1826,999,56,45,0,9,1,0
2167,1826,999,56,46,0,9,1,0
2168,1826,999,56,46,0,9,1,0
2169,1826,998,56,46,0,9,1,1
2170,1825,999,56,45,0,9,1,1
2171,1825,999,56,46,0,9,1,1
2172,1827,999,55,45,0,9,1,1
2173,1827,999,56,45,0,9,1,1
2174,1827,999,56,46,0,9,1,1
2175,1827,999,56,46,0,9,1,1
2176,1826,999,56,45,0,9,1,1
2177,1827,999,55,45,0,9,1,1
2178,1827,999,55,45,0,9,1,1
2179,1828,1000,52,43,0,9,1,1
2180,1827,1000,53,44,0,9,1,1
2181,1827,1000,52,44,0,9,1,1
2182,1827,999,53,44,0,9,1,1
2183,1828,1000,52,43,0,9,1,0
2184,1827,999,53,44,0,9,1,0
2185,1827,999,53,44,0,9,1,0
2186,1827,999,53,44,0,9,1,0
2187,1827,999,53,44,0,9,1,1
2188,1827,999,53,44,0,9,1,1
2189,1828,1000,52,44,0,9,1,2
2190,1828,1000,52,44,0,9,1,2
2191,1828,1000,53,44,0,9,1,3
2192,1828,1000,53,44,0,9,1,3
2193,1827,1000,53,44,0,9,1,3
2194,1828,1000,53,44,0,9,1,3
2195,1827,1002,52,42,0,9,1,3
2196,1826,1002,53,43,0,9,1,5
2197,1826,1002,54,43,0,9,1,6
2198,1826,1002,54,43,0,9,1,6
2199,1823,1002,57,43,0,9,1,6
2200,1823,1002,57,43,0,9,1,4
2201,1823,1002,58,43,0,9,1,3
2202,1823,1001,58,43,0,9,1,2
2203,1825,1003,57,42,0,9,1,1
2204,1825,1002,58,43,0,9,1,1
2205,1825,1002,57,45,0,9,1,1
2206,1825,1001,57,44,0,9,1,1
2207,1825,1001,58,44,0,9,1,1
2208,1829,1003,57,44,0,9,1,1
2227,1821,1000,61,47,0,9,1,1
2228,1821,1000,61,47,0,9,1,1
2229,1834,1001,52,46,0,9,1,0
2230,1826,1002,56,44,0,9,1,0
2231,1822,1001,60,44,0,9,1,2
2232,1826,1002,55,43,0,9,1,3
2233,1823,1002,57,42,0,9,1,4
2234,1825,1002,55,43,0,9,1,3
2235,1829,1003,50,41,0,9,1,3
2236,1829,1004,50,41,0,9,1,3
2237,1828,1003,52,41,0,9,1,2
2238,1828,1004,52,41,0,9,1,1
2239,1824,1002,57,43,0,9,1,1
2240,1825,1002,55,44,0,9,1,1
2241,1825,1002,56,43,0,9,1,2
2242,1825,1002,57,43,0,9,1,2
2243,1826,1002,56,43,0,9,1,2
2244,1825,1002,57,43,0,9,1,1
2245,1825,1002,57,43,0,9,1,1
2246,1825,1002,57,43,0,9,1,0
2247,1824,1002,57,43,0,9,1,0
2248,1825,1002,57,43,0,9,1,0
2249,1823,1001,59,44,0,9,1,0
2250,1827,1003,53,43,0,9,1,0
2251,1828,1003,52,43,0,9,1,0
2252,1828,1003,52,42,0,9,1,0
2253,1828,1003,52,42,0,9,1,0
2254,1828,1003,53,43,0,9,1,1
2255,1828,1003,52,43,0,9,1,2
2256,1830,1003,49,42,0,9,1,3
2257,1830,1003,50,42,0,9,1,3
