frame,bbox_topleft_x,bbox_topleft_y,bbox_width,bbox_height,track_id
536,872,109,33,35,1136
536,918,93,58,51,1137
538,900,85,78,61,1137
540,901,85,85,62,1137
541,900,85,85,62,1137
542,901,85,86,62,1137
546,899,85,85,61,1137
547,898,86,84,60,1137
548,899,86,84,60,1137
549,899,86,84,60,1137
550,898,86,83,60,1137
551,897,87,83,59,1137
552,895,87,81,59,1137
536,876,107,51,39,1138
537,876,106,51,39,1138
538,875,106,50,39,1138
539,878,102,49,41,1138
540,874,104,50,40,1138
541,880,106,45,38,1138
542,877,108,43,37,1138
543,879,104,44,39,1138
544,876,105,46,39,1138
545,876,106,45,38,1138
546,876,107,44,38,1138
547,876,107,44,38,1138
548,876,107,43,38,1138
549,875,108,39,37,1138
550,877,108,41,37,1138
551,877,108,42,37,1138
552,877,106,45,38,1138
553,877,107,46,38,1138
554,878,108,47,38,1138
555,877,108,47,38,1138
556,877,108,48,38,1138
557,877,109,48,37,1138
558,877,109,48,37,1138
559,877,109,48,37,1138
560,876,109,48,37,1138
561,875,107,50,38,1138
562,874,107,51,38,1138
563,873,106,51,38,1138
564,879,107,48,38,1138
565,876,107,49,38,1138
566,875,108,48,37,1138
567,874,108,48,37,1138
568,878,105,48,38,1138
569,876,107,46,38,1138
570,874,107,47,37,1138
571,874,107,48,37,1138
572,874,106,49,37,1138
573,873,106,49,37,1138
574,873,106,50,37,1138
575,873,107,50,37,1138
576,875,109,49,37,1138
577,875,109,48,36,1138
578,876,109,47,36,1138
579,880,109,46,36,1138
580,878,109,46,36,1138
581,877,109,47,36,1138
582,877,109,47,36,1138
583,877,109,47,36,1138
584,876,110,47,36,1138
585,876,108,49,37,1138
586,876,109,48,37,1138
587,875,107,50,37,1138
588,876,108,49,37,1138
589,876,108,49,37,1138
590,876,108,48,37,1138
591,876,108,47,37,1138
592,876,108,46,37,1138
593,876,107,46,38,1138
594,876,107,46,38,1138
595,877,107,46,38,1138
596,877,107,47,38,1138
597,875,106,49,38,1138
598,876,107,48,38,1138
599,876,107,48,38,1138
600,876,108,48,38,1138
601,878,105,47,39,1138
602,879,103,47,40,1138
603,878,106,47,39,1138
604,877,106,48,39,1138
605,879,104,47,40,1138
606,879,103,47,41,1138
607,880,101,47,42,1138
608,881,104,46,42,1138
536,913,94,36,50,1139
537,917,94,34,49,1139
538,923,91,38,53,1139
539,923,91,40,53,1139
540,916,92,38,52,1139
541,914,93,36,50,1139
542,914,94,35,50,1139
543,918,92,42,53,1139
544,914,92,40,52,1139
545,913,93,39,51,1139
546,912,93,38,51,1139
547,912,93,38,51,1139
548,912,93,38,51,1139
549,913,94,37,50,1139
550,913,94,36,50,1139
551,913,94,36,50,1139
552,913,94,36,50,1139
553,912,94,37,50,1139
554,912,94,37,50,1139
555,915,94,36,50,1139
556,914,94,36,50,1139
557,914,94,36,50,1139
558,914,94,36,51,1139
559,914,94,35,50,1139
560,915,94,34,50,1139
561,915,94,34,50,1139
562,914,94,34,50,1139
563,915,94,34,50,1139
564,915,95,34,50,1139
565,916,94,33,49,1139
566,917,94,33,49,1139
567,917,95,33,49,1139
568,917,95,33,49,1139
569,917,95,33,49,1139
570,917,94,33,49,1139
571,917,94,33,49,1139
572,915,94,33,49,1139
573,915,94,34,50,1139
574,914,94,35,50,1139
575,914,94,35,50,1139
576,914,94,35,50,1139
577,914,94,35,50,1139
578,916,94,34,50,1139
579,916,95,34,50,1139
580,916,95,34,49,1139
581,915,95,33,49,1139
582,916,95,33,49,1139
583,916,95,33,49,1139
